previous,age,education,gender,children
No,25,unknown,Female,1
No,20,unknown,Female,0
No,57,secondary,Female,4
No,32,secondary,Female,0
No,43,secondary,Female,1
Yes,36,tertiary,Female,1
No,56,tertiary,Female,1
No,41,tertiary,Female,0
No,41,tertiary,Female,0
No,43,unknown,Female,3
No,50,secondary,Female,0
No,44,tertiary,Female,1
No,29,primary,Female,0
No,51,primary,Female,2
No,31,tertiary,Female,0
No,40,primary,Female,0
No,37,unknown,Female,3
No,50,tertiary,Female,2
No,45,tertiary,Female,1
No,37,tertiary,Female,1
No,46,primary,Female,0
No,42,primary,Female,1
No,21,tertiary,Female,0
No,36,unknown,Female,0
No,63,primary,Female,3
No,27,unknown,Female,1
No,54,primary,Female,3
No,45,tertiary,Female,0
No,35,tertiary,Female,0
No,33,tertiary,Female,3
No,48,tertiary,Female,1
No,43,primary,Female,2
No,47,unknown,Female,1
No,54,tertiary,Female,1
No,36,tertiary,Female,0
No,35,unknown,Female,0
No,41,unknown,Female,1
No,32,tertiary,Female,0
No,32,tertiary,Female,0
No,44,unknown,Female,0
No,42,unknown,Female,2
No,47,primary,Female,1
No,54,primary,Female,1
No,22,primary,Female,0
No,43,primary,Female,0
No,43,unknown,Female,2
No,44,tertiary,Female,1
No,58,unknown,Female,1
No,40,tertiary,Female,1
No,30,primary,Female,0
No,49,unknown,Female,0
No,44,secondary,Female,1
No,50,secondary,Female,0
No,35,tertiary,Female,0
No,48,unknown,Female,0
No,18,unknown,Female,0
No,34,secondary,Female,0
No,39,secondary,Female,2
Yes,47,tertiary,Female,2
No,50,secondary,Female,0
No,56,secondary,Female,1
No,44,primary,Female,1
Yes,46,tertiary,Female,2
No,36,primary,Female,1
No,49,tertiary,Female,3
No,65,tertiary,Female,2
No,42,tertiary,Female,0
No,50,primary,Female,2
No,16,primary,Female,0
No,50,tertiary,Female,0
No,48,tertiary,Female,1
No,20,tertiary,Female,0
No,46,secondary,Female,0
No,44,secondary,Female,0
No,33,primary,Female,0
No,47,unknown,Female,1
No,37,primary,Female,2
No,40,tertiary,Female,0
No,29,tertiary,Female,0
No,37,primary,Female,0
No,54,tertiary,Female,1
No,23,unknown,Female,3
No,50,primary,Female,1
No,44,tertiary,Female,0
No,33,primary,Female,0
No,51,unknown,Female,2
No,25,primary,Female,0
No,51,tertiary,Female,2
No,36,tertiary,Female,0
No,49,unknown,Female,1
No,44,primary,Female,3
No,35,tertiary,Female,1
No,36,tertiary,Female,0
No,18,secondary,Female,0
No,29,tertiary,Female,1
No,53,secondary,Female,3
No,51,primary,Male,1
No,44,unknown,Female,1
No,15,tertiary,Female,0
No,51,primary,Female,1
No,35,secondary,Female,0
No,31,tertiary,Female,1
No,39,secondary,Female,1
No,46,tertiary,Female,2
No,27,tertiary,Female,0
No,55,primary,Female,2
No,41,primary,Female,1
No,47,tertiary,Female,1
No,18,tertiary,Female,0
No,32,primary,Female,1
No,53,secondary,Female,2
No,32,secondary,Female,3
No,53,secondary,Female,1
No,40,unknown,Female,0
No,27,primary,Female,0
No,22,unknown,Female,1
No,30,unknown,Female,2
No,44,unknown,Female,1
No,44,primary,Female,0
No,34,tertiary,Female,0
No,61,primary,Female,1
No,54,primary,Female,2
No,24,unknown,Female,0
No,58,tertiary,Female,0
No,46,primary,Female,1
No,44,secondary,Female,2
No,28,tertiary,Female,0
No,47,tertiary,Female,1
No,37,tertiary,Female,1
No,60,unknown,Female,0
No,22,unknown,Female,0
No,23,tertiary,Female,0
No,49,primary,Female,1
No,66,tertiary,Female,2
No,40,tertiary,Female,0
No,23,tertiary,Female,0
No,58,tertiary,Female,1
No,48,tertiary,Female,1
No,36,tertiary,Female,2
No,28,secondary,Female,0
No,58,secondary,Female,0
No,48,tertiary,Female,1
No,44,primary,Female,2
No,33,tertiary,Female,0
No,18,unknown,Female,0
No,35,tertiary,Female,0
No,39,tertiary,Female,2
No,46,tertiary,Female,2
No,15,secondary,Female,0
No,26,tertiary,Female,0
No,50,tertiary,Female,1
No,53,tertiary,Female,2
No,24,tertiary,Female,0
No,35,unknown,Female,0
No,32,tertiary,Female,2
No,29,tertiary,Female,3
No,41,unknown,Female,1
No,17,secondary,Female,0
No,40,tertiary,Female,2
No,36,primary,Female,2
No,29,primary,Female,0
No,39,secondary,Female,1
No,33,unknown,Female,2
No,40,unknown,Female,0
No,30,primary,Female,0
No,23,unknown,Female,0
No,32,unknown,Female,3
No,33,tertiary,Female,1
No,51,unknown,Female,0
No,42,tertiary,Female,1
No,28,unknown,Female,0
No,24,tertiary,Female,0
No,41,tertiary,Female,0
No,26,secondary,Female,1
No,40,secondary,Female,0
No,35,secondary,Female,0
No,59,unknown,Female,2
No,41,unknown,Female,0
No,27,unknown,Female,1
No,63,tertiary,Female,2
No,26,tertiary,Female,0
No,33,unknown,Female,0
No,56,tertiary,Female,2
No,64,secondary,Female,2
No,28,tertiary,Female,0
No,39,unknown,Female,1
No,46,primary,Female,1
No,28,secondary,Female,0
No,38,primary,Female,0
No,19,tertiary,Female,0
No,50,primary,Female,1
No,35,secondary,Female,0
No,16,tertiary,Female,0
No,36,primary,Female,0
Yes,50,tertiary,Female,1
No,34,unknown,Female,0
No,40,secondary,Female,0
No,34,tertiary,Female,0
No,51,primary,Female,1
No,65,primary,Female,2
No,43,tertiary,Female,0
No,43,primary,Female,2
No,46,primary,Female,3
No,47,unknown,Female,0
No,40,unknown,Female,0
No,45,tertiary,Female,1
No,29,tertiary,Female,0
No,20,secondary,Female,0
No,39,tertiary,Female,0
No,28,tertiary,Female,0
No,43,secondary,Female,1
No,21,unknown,Female,0
No,42,secondary,Female,1
No,42,primary,Female,0
No,42,unknown,Female,0
No,41,tertiary,Female,0
No,35,tertiary,Female,2
No,23,secondary,Female,0
Yes,56,primary,Female,2
No,29,tertiary,Female,0
No,37,secondary,Female,2
No,32,secondary,Female,1
No,55,secondary,Female,1
No,51,primary,Female,1
No,50,tertiary,Female,2
Yes,34,tertiary,Female,0
No,35,primary,Female,3
No,25,tertiary,Female,0
No,28,tertiary,Female,0
No,58,primary,Female,3
No,52,secondary,Female,3
No,58,tertiary,Female,4
No,53,secondary,Female,2
No,27,tertiary,Female,1
No,25,tertiary,Female,0
No,38,primary,Female,0
No,41,primary,Female,2
No,32,tertiary,Female,0
No,48,secondary,Female,4
Yes,35,secondary,Female,0
No,34,unknown,Female,0
No,22,primary,Female,0
No,47,tertiary,Female,2
No,35,secondary,Female,0
No,17,tertiary,Female,0
No,35,primary,Female,0
No,29,secondary,Female,1
No,34,unknown,Female,0
No,42,tertiary,Female,1
No,43,secondary,Female,1
No,44,secondary,Female,2
No,54,unknown,Female,1
No,28,tertiary,Female,0
Yes,48,tertiary,Female,1
No,30,primary,Female,0
No,32,unknown,Female,1
No,27,secondary,Female,0
No,41,tertiary,Female,3
No,31,secondary,Female,2
No,63,secondary,Female,4
No,23,secondary,Female,0
No,49,tertiary,Female,1
No,54,primary,Female,1
No,59,secondary,Female,1
No,42,primary,Female,0
No,53,tertiary,Female,1
No,42,unknown,Female,0
No,46,primary,Female,0
No,42,unknown,Female,2
No,60,secondary,Female,3
No,53,unknown,Female,2
No,58,secondary,Female,1
No,49,secondary,Female,2
No,42,tertiary,Female,1
No,24,secondary,Female,0
No,54,unknown,Female,2
No,30,secondary,Female,0
No,36,tertiary,Female,1
No,29,secondary,Female,0
No,38,tertiary,Male,0
Yes,46,tertiary,Female,0
No,57,unknown,Female,2
No,33,primary,Female,2
No,42,secondary,Female,3
No,31,tertiary,Female,0
Yes,53,secondary,Female,1
No,44,tertiary,Female,3
No,39,tertiary,Female,0
No,44,primary,Female,2
No,38,unknown,Female,1
No,44,tertiary,Female,2
No,44,unknown,Female,1
No,51,tertiary,Female,2
No,37,secondary,Female,0
No,37,tertiary,Female,1
No,57,tertiary,Female,1
No,60,secondary,Female,1
No,19,unknown,Female,0
No,58,primary,Female,1
No,41,tertiary,Female,2
No,40,tertiary,Male,0
No,38,primary,Male,0
Yes,33,unknown,Male,0
No,32,secondary,Male,0
No,15,tertiary,Male,0
No,28,tertiary,Male,0
No,37,tertiary,Male,0
No,27,primary,Male,0
No,41,primary,Male,0
No,14,tertiary,Male,0
No,27,tertiary,Male,0
No,25,secondary,Male,0
No,34,primary,Male,0
No,33,tertiary,Male,0
No,34,tertiary,Male,0
No,34,primary,Male,0
No,32,tertiary,Male,0
No,53,tertiary,Male,1
No,54,tertiary,Male,0
No,33,primary,Male,1
No,32,tertiary,Male,0
No,37,secondary,Male,0
No,37,tertiary,Male,0
No,34,secondary,Male,0
No,59,unknown,Male,0
No,31,tertiary,Male,0
No,25,primary,Male,0
No,48,secondary,Male,0
No,43,unknown,Male,0
No,47,tertiary,Male,0
No,34,tertiary,Male,0
No,44,unknown,Male,0
No,25,tertiary,Male,0
No,50,tertiary,Male,0
Yes,35,primary,Male,0
No,39,unknown,Male,0
No,25,tertiary,Male,0
No,40,unknown,Male,0
No,38,tertiary,Male,0
No,28,unknown,Male,0
No,30,secondary,Male,0
Yes,22,tertiary,Male,0
No,60,primary,Male,0
No,33,primary,Male,1
No,48,secondary,Male,1
No,34,tertiary,Male,1
No,26,primary,Male,0
No,29,tertiary,Male,1
No,36,tertiary,Male,1
No,28,tertiary,Male,0
No,36,unknown,Male,3
No,51,secondary,Male,0
No,41,tertiary,Male,0
No,34,unknown,Male,1
No,54,tertiary,Male,0
No,56,primary,Male,0
No,56,primary,Male,0
No,44,tertiary,Male,0
No,55,primary,Male,0
No,32,tertiary,Male,0
No,36,primary,Male,0
No,35,primary,Male,0
No,44,primary,Male,0
No,40,tertiary,Male,0
No,39,unknown,Male,1
No,40,unknown,Male,1
No,49,primary,Male,0
No,39,unknown,Male,0
No,30,primary,Male,0
No,44,primary,Male,0
No,38,tertiary,Male,1
No,32,tertiary,Male,1
No,51,unknown,Male,0
No,42,tertiary,Male,1
No,46,tertiary,Male,0
No,36,unknown,Male,0
No,35,primary,Male,0
No,45,tertiary,Male,0
No,36,secondary,Male,0
No,38,tertiary,Male,0
No,33,tertiary,Male,0
No,38,secondary,Male,1
No,40,primary,Male,0
No,20,tertiary,Male,0
No,26,secondary,Male,0
No,36,unknown,Male,0
No,19,unknown,Male,0
No,28,unknown,Male,0
No,36,secondary,Male,0
No,53,tertiary,Male,0
No,37,unknown,Male,0
No,34,unknown,Male,0
No,30,primary,Male,0
No,43,primary,Male,0
No,16,tertiary,Male,0
No,48,tertiary,Male,0
No,36,tertiary,Male,0
No,38,tertiary,Male,0
No,40,tertiary,Male,0
No,55,unknown,Male,2
No,32,primary,Male,1
No,42,tertiary,Male,0
No,32,tertiary,Male,1
No,32,secondary,Male,0
No,50,unknown,Male,0
No,60,unknown,Male,0
No,42,primary,Male,0
No,27,primary,Male,0
No,20,tertiary,Male,0
No,52,unknown,Male,1
No,32,tertiary,Male,0
No,38,tertiary,Male,0
No,41,secondary,Male,0
No,27,tertiary,Male,0
No,42,tertiary,Male,0
No,30,secondary,Male,0
No,31,secondary,Male,0
No,40,unknown,Male,0
No,45,secondary,Male,0
No,33,tertiary,Male,0
No,43,tertiary,Male,0
No,34,tertiary,Male,0
No,46,primary,Male,0
No,40,secondary,Male,1
No,20,tertiary,Male,0
No,40,tertiary,Male,1
No,35,unknown,Male,1
No,40,secondary,Male,0
No,52,tertiary,Male,0
No,39,unknown,Male,1
No,37,unknown,Male,0
No,31,primary,Male,0
No,32,unknown,Male,0
No,24,secondary,Male,0
No,50,primary,Male,0
No,39,unknown,Male,1
No,19,secondary,Male,0
No,51,primary,Male,0
No,43,tertiary,Male,0
No,41,tertiary,Male,0
No,30,secondary,Male,0
No,28,unknown,Male,0
No,39,unknown,Male,0
No,35,tertiary,Male,0
No,26,primary,Male,0
No,34,tertiary,Male,0
No,45,tertiary,Male,0
No,44,tertiary,Male,0
No,29,secondary,Male,0
No,33,tertiary,Male,0
No,31,tertiary,Male,0
No,35,unknown,Male,0
No,41,unknown,Male,0
No,34,tertiary,Male,0
No,44,secondary,Male,0
No,33,tertiary,Male,0
No,39,unknown,Male,0
No,43,tertiary,Male,1
No,21,secondary,Male,0
No,48,primary,Male,0
No,20,primary,Male,0
No,48,secondary,Male,0
No,28,tertiary,Male,0
No,33,primary,Male,0
Yes,41,tertiary,Male,1
No,32,primary,Male,0
No,32,unknown,Male,1
No,38,secondary,Male,0
No,36,tertiary,Male,0
No,23,tertiary,Male,0
No,51,tertiary,Male,1
No,21,secondary,Male,0
No,57,tertiary,Male,0
No,52,unknown,Male,0
No,30,secondary,Male,0
No,14,tertiary,Male,0
Yes,17,primary,Male,0
No,33,primary,Male,0
No,33,primary,Male,0
No,46,secondary,Male,0
No,36,secondary,Male,0
No,60,unknown,Male,0
No,35,primary,Male,0
No,52,tertiary,Male,0
No,27,secondary,Male,0
No,26,secondary,Male,0
No,32,tertiary,Male,0
No,38,unknown,Male,1
No,27,primary,Male,0
No,58,tertiary,Male,1
No,43,tertiary,Male,0
No,34,tertiary,Male,0
No,43,unknown,Male,0
No,38,tertiary,Male,0
No,56,tertiary,Male,0
No,37,secondary,Male,0
No,29,tertiary,Male,0
No,43,tertiary,Male,0
No,48,primary,Male,0
No,66,unknown,Male,3
No,41,primary,Male,0
No,33,secondary,Male,0
No,41,unknown,Male,0
No,21,secondary,Male,0
Yes,49,unknown,Male,0
No,49,tertiary,Male,0
No,32,primary,Male,0
No,38,secondary,Male,0
No,34,secondary,Male,1
No,41,tertiary,Male,0
No,21,unknown,Male,0
No,41,tertiary,Male,0
No,23,primary,Male,0
No,35,unknown,Male,3
No,24,secondary,Male,0
No,27,secondary,Male,0
No,39,secondary,Male,1
No,59,unknown,Male,0
No,25,unknown,Male,0
No,46,tertiary,Male,0
No,30,primary,Male,0
No,39,tertiary,Male,0
No,35,secondary,Male,0
No,51,tertiary,Male,0
No,28,unknown,Male,0
No,60,secondary,Male,1
No,50,tertiary,Male,0
No,17,primary,Male,0
No,33,unknown,Male,0
No,33,tertiary,Male,0
No,26,tertiary,Male,0
No,51,unknown,Male,0
No,48,primary,Male,1
No,50,unknown,Male,0
No,51,primary,Male,1
No,31,primary,Male,0
No,36,unknown,Male,0
No,24,primary,Male,0
No,51,primary,Male,4
No,33,secondary,Male,0
No,50,unknown,Male,2
No,50,tertiary,Male,2
No,34,primary,Male,0
No,49,unknown,Male,0
No,44,unknown,Male,0
No,25,secondary,Male,0
No,26,unknown,Male,0
No,24,tertiary,Male,0
No,41,tertiary,Male,0
No,55,primary,Male,3
No,26,primary,Male,0
No,56,primary,Male,2
No,27,unknown,Male,0
No,35,tertiary,Male,0
No,19,unknown,Male,0
No,20,secondary,Male,0
No,47,tertiary,Male,1
No,46,tertiary,Male,0
No,36,tertiary,Male,0
No,40,unknown,Male,0
No,51,secondary,Male,2
No,43,tertiary,Male,2
No,36,secondary,Male,0
No,30,tertiary,Male,0
No,42,secondary,Male,1
No,37,unknown,Male,0
No,44,tertiary,Male,3
No,46,tertiary,Male,1
No,54,secondary,Male,2
No,31,primary,Male,0
No,40,primary,Male,0
No,38,primary,Male,0
No,45,secondary,Male,0
No,43,unknown,Male,2
No,42,primary,Male,0
No,28,tertiary,Male,0
No,53,tertiary,Male,3
No,34,secondary,Male,1
No,44,tertiary,Male,3
No,59,tertiary,Male,0
No,46,unknown,Male,2
No,37,tertiary,Male,0
No,28,secondary,Male,0
No,23,primary,Male,0
No,48,primary,Male,0
No,33,primary,Male,1
No,39,secondary,Male,1
No,37,tertiary,Male,0
No,36,primary,Male,0
No,36,primary,Male,2
No,45,tertiary,Male,1
No,47,tertiary,Male,0
No,35,tertiary,Male,0
No,27,tertiary,Male,0
Yes,44,tertiary,Male,2
No,48,primary,Male,1
No,40,unknown,Male,0
No,46,unknown,Male,1
No,15,unknown,Male,0
No,57,unknown,Male,2
No,30,secondary,Male,0
No,28,tertiary,Male,0
No,58,secondary,Male,1
No,31,secondary,Male,0
No,29,unknown,Male,0
No,29,secondary,Male,1
No,36,primary,Male,0
No,43,unknown,Male,0
No,53,tertiary,Male,0
No,41,tertiary,Male,3
No,67,secondary,Male,2
No,25,tertiary,Male,0
No,21,tertiary,Male,0
No,31,tertiary,Male,0
No,19,tertiary,Male,0
No,43,unknown,Male,1
No,46,secondary,Male,2
No,43,tertiary,Male,2
No,47,secondary,Male,0
No,47,unknown,Male,1
No,47,tertiary,Male,0
No,45,tertiary,Male,0
No,55,tertiary,Male,1
No,47,unknown,Male,0
No,33,unknown,Male,0
No,37,tertiary,Male,0
No,31,unknown,Male,1
No,46,tertiary,Male,0
No,26,tertiary,Male,0
No,42,tertiary,Male,1
No,47,tertiary,Male,0
No,34,tertiary,Male,1
No,44,tertiary,Male,3
No,28,secondary,Male,0
No,23,primary,Male,2
No,41,tertiary,Male,1
No,71,tertiary,Male,2
No,62,tertiary,Male,2
No,28,primary,Male,0
No,57,unknown,Male,1
No,47,secondary,Male,0
No,18,primary,Male,0
No,31,secondary,Male,0
No,26,secondary,Male,0
No,32,tertiary,Male,0
No,49,secondary,Male,0
No,27,unknown,Male,0
No,49,tertiary,Male,3
No,44,tertiary,Male,0
No,42,tertiary,Male,0
No,38,secondary,Male,0
No,39,secondary,Male,0
No,45,primary,Male,0
No,26,secondary,Male,0
No,48,tertiary,Male,1
No,18,secondary,Male,0
No,44,unknown,Male,0
No,35,tertiary,Male,0
No,36,tertiary,Male,0
No,40,secondary,Male,0
No,43,tertiary,Male,0
No,66,secondary,Male,2
No,17,secondary,Male,0
No,34,unknown,Male,2
No,61,primary,Male,3
No,34,tertiary,Male,0
No,38,tertiary,Male,0
No,53,tertiary,Male,0
No,68,unknown,Male,1
No,38,secondary,Male,1
No,18,unknown,Male,0
No,27,tertiary,Male,0
No,37,secondary,Male,0
No,20,tertiary,Male,1
No,42,tertiary,Male,0
No,48,primary,Male,0
No,49,secondary,Male,0
No,38,tertiary,Male,0
No,40,unknown,Male,0
No,44,tertiary,Male,0
No,33,primary,Male,0
No,25,unknown,Male,0
No,30,tertiary,Male,0
No,33,unknown,Male,1
No,44,primary,Male,2
No,45,secondary,Male,2
No,42,secondary,Male,0
No,41,tertiary,Male,1
No,38,primary,Male,0
No,29,primary,Male,0
No,18,tertiary,Male,0
No,18,tertiary,Male,0
No,31,primary,Male,1
Yes,41,secondary,Male,2
No,39,tertiary,Male,0
No,27,primary,Male,0
No,39,primary,Male,0
No,30,unknown,Male,0
No,17,unknown,Male,0
No,32,tertiary,Male,1
No,32,primary,Male,0
No,28,primary,Male,0
No,20,secondary,Male,0
No,39,tertiary,Male,0
No,34,unknown,Male,0
No,46,tertiary,Male,1
No,24,tertiary,Male,0
No,17,unknown,Male,0
No,32,secondary,Male,1
No,17,tertiary,Male,0
No,48,tertiary,Male,1
No,39,unknown,Male,0
No,39,tertiary,Male,1
No,35,tertiary,Male,0
No,43,tertiary,Male,0
No,53,tertiary,Male,0
No,46,tertiary,Male,1
No,41,unknown,Male,0
No,22,secondary,Male,1
No,34,unknown,Male,0
No,43,secondary,Male,0
No,42,tertiary,Male,1
No,32,tertiary,Male,0
No,39,secondary,Male,0
No,39,tertiary,Male,1
No,34,unknown,Male,0
No,29,secondary,Male,0
No,36,tertiary,Male,0
No,39,tertiary,Male,0
No,38,unknown,Male,1
No,42,tertiary,Male,0
No,46,tertiary,Female,3
No,35,tertiary,Female,0
No,40,unknown,Female,0
No,42,unknown,Female,4
No,31,tertiary,Female,0
No,28,tertiary,Female,0
No,44,tertiary,Male,0
No,40,primary,Male,0
No,46,tertiary,Female,1
No,29,tertiary,Female,0
No,36,primary,Female,1
No,39,tertiary,Female,1
No,42,tertiary,Female,1
No,48,tertiary,Female,1
No,51,secondary,Female,1
No,63,secondary,Female,3
No,30,secondary,Female,1
No,42,tertiary,Female,0
No,46,secondary,Female,1
No,46,unknown,Female,0
No,53,secondary,Female,1
No,51,primary,Female,1
No,53,primary,Female,3
No,34,tertiary,Female,0
No,48,unknown,Female,1
No,44,tertiary,Female,1
No,21,secondary,Female,1
No,38,unknown,Female,0
No,31,tertiary,Female,1
No,63,tertiary,Female,4
No,30,unknown,Female,0
No,27,tertiary,Female,0
No,38,tertiary,Female,0
No,26,tertiary,Female,0
No,42,secondary,Female,0
No,45,primary,Female,0
No,52,unknown,Female,0
No,21,unknown,Female,0
No,44,tertiary,Female,2
No,25,primary,Female,0
No,32,primary,Female,1
No,35,tertiary,Female,1
No,60,tertiary,Female,2
No,37,secondary,Female,0
No,62,unknown,Female,1
No,48,primary,Female,1
No,45,secondary,Female,4
No,65,tertiary,Female,3
No,20,unknown,Female,0
No,45,secondary,Female,2
No,56,unknown,Female,2
No,41,secondary,Female,0
No,32,unknown,Female,0
No,41,primary,Female,0
No,32,primary,Female,1
No,74,unknown,Female,2
No,59,primary,Female,2
No,27,unknown,Female,0
No,41,secondary,Female,1
No,45,unknown,Female,0
No,47,primary,Female,2
No,58,primary,Female,2
No,31,tertiary,Female,2
No,37,primary,Female,1
No,62,secondary,Female,2
No,50,unknown,Female,2
No,43,primary,Female,0
No,48,tertiary,Female,0
No,48,tertiary,Female,1
No,24,secondary,Female,0
No,39,unknown,Female,1
No,54,unknown,Female,1
No,30,tertiary,Female,2
No,38,tertiary,Female,0
No,66,tertiary,Female,3
No,33,tertiary,Female,0
No,36,unknown,Female,2
No,37,tertiary,Female,1
No,41,secondary,Female,1
Yes,46,primary,Female,1
No,29,primary,Female,2
No,55,tertiary,Female,2
No,55,primary,Female,2
No,40,tertiary,Female,1
No,53,unknown,Female,2
No,27,tertiary,Female,1
No,52,tertiary,Female,2
No,42,unknown,Female,2
No,49,secondary,Female,1
No,38,tertiary,Female,1
No,47,primary,Female,2
No,16,tertiary,Female,0
No,20,tertiary,Female,0
No,44,secondary,Female,0
No,33,tertiary,Female,0
No,41,primary,Female,1
No,60,unknown,Female,1
No,56,tertiary,Female,1
No,57,tertiary,Female,1
No,27,tertiary,Female,0
No,34,unknown,Female,2
No,31,tertiary,Female,0
No,25,primary,Female,0
No,15,unknown,Female,0
No,43,tertiary,Female,0
No,24,secondary,Female,0
No,40,primary,Female,0
No,60,tertiary,Female,1
No,38,tertiary,Female,1
No,21,unknown,Female,0
No,49,tertiary,Female,2
No,39,unknown,Female,0
No,44,tertiary,Female,2
No,46,tertiary,Female,1
No,56,secondary,Female,1
No,73,tertiary,Female,1
No,29,tertiary,Female,0
No,31,tertiary,Female,1
No,26,secondary,Female,0
No,53,primary,Female,2
No,53,secondary,Female,0
No,44,primary,Female,1
No,16,primary,Female,0
No,32,primary,Female,0
No,50,secondary,Female,0
No,25,primary,Female,1
No,30,primary,Female,0
No,48,tertiary,Female,1
No,58,tertiary,Female,1
No,26,unknown,Female,0
No,26,tertiary,Female,1
No,45,tertiary,Female,1
No,62,secondary,Female,3
No,50,tertiary,Female,2
Yes,40,unknown,Female,2
No,24,tertiary,Female,2
No,34,secondary,Female,0
No,31,tertiary,Female,1
No,36,tertiary,Female,0
No,32,tertiary,Female,0
No,42,secondary,Female,0
No,30,tertiary,Female,2
No,21,primary,Female,0
No,18,primary,Female,0
No,48,tertiary,Female,0
No,51,unknown,Female,1
No,42,unknown,Female,2
No,73,secondary,Female,2
No,52,secondary,Female,2
No,33,tertiary,Female,2
No,57,primary,Female,2
No,55,tertiary,Female,3
No,40,secondary,Female,1
No,21,tertiary,Female,1
No,23,tertiary,Female,0
No,52,primary,Female,1
No,36,unknown,Female,1
No,53,primary,Female,0
No,48,secondary,Female,0
No,18,tertiary,Female,0
No,40,unknown,Female,0
No,59,unknown,Female,2
No,26,tertiary,Female,0
No,46,tertiary,Female,2
No,40,unknown,Female,2
No,43,tertiary,Female,2
Yes,22,unknown,Female,0
No,35,tertiary,Female,0
No,41,secondary,Female,2
No,54,unknown,Female,1
Yes,51,tertiary,Female,0
No,43,tertiary,Female,3
No,43,primary,Female,1
No,37,secondary,Female,3
No,46,tertiary,Female,2
No,39,tertiary,Female,1
No,21,tertiary,Female,0
No,35,tertiary,Female,0
No,33,tertiary,Female,2
No,33,unknown,Female,0
No,38,primary,Female,1
No,43,unknown,Female,1
No,31,secondary,Female,0
No,51,unknown,Female,0
No,46,primary,Female,1
No,45,tertiary,Female,3
No,32,primary,Female,0
No,40,tertiary,Female,0
No,44,tertiary,Female,2
No,31,unknown,Female,2
No,31,tertiary,Female,0
No,41,tertiary,Female,1
No,15,tertiary,Female,0
No,35,secondary,Female,2
No,33,secondary,Female,0
No,53,tertiary,Female,1
No,38,primary,Female,0
No,36,unknown,Female,0
No,52,tertiary,Female,1
No,36,tertiary,Female,0
No,35,tertiary,Female,1
No,49,tertiary,Female,1
No,41,tertiary,Female,0
No,49,secondary,Female,1
No,35,tertiary,Female,0
